State,Date,Time,Cumulative case count,Cumulative deaths,,,,,,,,,,,,
ACT,13/04/2020,13:15,103,,,,,,,,,,,,,
WA,13/04/2020,15:45,523,6,,,,,,,,,,,,
SA,13/04/2020,15:45,431,,,,,,,,,,,,,
TAS,13/04/2020,18:00,150,,,,,,,,,,,,,
NT,13/04/2020,16:00,28,,,,,,,,,,,,,
NSW,13/04/2020,20:00,2870,25,,,,,,,,,,,,
VIC,14/04/2020,08:30,1291,14,,,,,,,,,,,,
QLD,14/04/2020,09:50,998,,,,,,,,,,,,,
ACT,14/04/2020,13:17,103,2,,,,,,,,,,,,
WA,14/04/2020,16:55,527,,,,,,,,,,,,,
SA,14/04/2020,16:00,433,4,,,,,,,,,,,,
TAS,14/04/2020,18:00,165,6,,,,,,,,,,,,
NSW,14/04/2020,20:00,2886,26,,,,,,,,,,,,
QLD,15/04/2020,09:00,999,4,,,,,,,,,,,,
ACT,15/04/2020,13:04,103,3,,,,,,,,,,,,
VIC,15/04/2020,13:08,1299,14,,,,,,,,,,,,
WA,15/04/2020,15:58,532,6,,,,,,,,,,,,
TAS,15/04/2020,18:00,169,,,,,,,,,,,,,
SA,15/04/2020,,433,,,,,,,,,,,,,
NT,15/04/2020,,28,,,,,,,,,,,,,
NSW,15/04/2020,20:00,2897,,,,,,,,,,,,,
QLD,16/04/2020,10:30,1001,,,,,,,,,,,,,
NT,16/04/2020,10:45,28,,,,,,,,,,,,,
ACT,16/04/2020,13:20,103,,,,,,,,,,,,,
WA,16/04/2020,17:00,535,,,,,,,,,,,,,
SA,16/04/2020,18:00,434,,,,,,,,,,,,,
VIC,16/04/2020,18:00,1301,,,,,,,,,,,,,
TAS,16/04/2020,18:00,180,,,,,,,,,,,,,
NSW,16/04/2020,20:00,2926,,,,,,,,,,,,,
VIC,17/04/2020,10:30,1302,14,,,,,,,,,,,,
ACT,17/04/2020,12:50,103,3,,,,,,,,,,,,
QLD,17/04/2020,13:40,1007,4,,,,,,,,,,,,
TAS,17/04/2020,14:15,,7,,,,,,,,,,,,
NT,17/04/2020,14:45,28,,,,,,,,,,,,,
SA,17/04/2020,16:00,435,4,,,,,,,,,,,,
WA,17/04/2020,17:00,541,7,,,,,,,,,,,,
NSW,17/04/2020,20:00,2936,,,,,,,,,,,,,
ACT,18/04/2020,16:00,103,3,,,,,,,,,,,,
VIC,18/04/2020,10:05,1319,14,,,,,,,,,,,,
TAS,18/04/2020,11:25,,8,,,,,,,,,,,,
QLD,18/04/2020,12:05,1014,4,,,,,,,,,,,,
NSW,18/04/2020,12:40,,28,,,,,,,,,,,,
NSW,18/04/2020,15:30,,29,,,,,,,,,,,,
NSW,18/04/2020,20:00,2957,,,,,,,,,,,,,
SA,18/04/2020,20:00,435,,,,,,,,,,,,,
VIC,19/04/2020,08:30,,15,,,,,,,,,,,,
QLD,19/04/2020,06:00,1014,,,,,,,,,,,,,
TAS,19/04/2020,06:00,187,,,,,,,,,,,,,
VIC,19/04/2020,06:00,1319,,,,,,,,,,,,,
WA,19/04/2020,06:00,544,,,,,,,,,,,,,
ACT,19/04/2020,11:58,103,3,,,,,,,,,,,,
VIC,19/04/2020,13:10,1328,15,,,,,,,,,,,,
QLD,19/04/2020,13:32,1019,,,,,,,,,,,,,
WA,19/04/2020,,545,7,,,,,,,,,,,,
NSW,19/04/2020,20:00,2963,30,,,,,,,,,,,,
SA,19/04/2020,,435,4,,,,,,,,,,,,
TAS,19/04/2020,18:00,197,,,,,,,,,,,,,
VIC,20/04/2020,12:50,1329,15,,,,,,,,,,,,
ACT,20/04/2020,13:50,104,,,,,,,,,,,,,
NT,20/04/2020,16:00,28,,,,,,,,,,,,,
QLD,20/04/2020,16:40,1019,,,,,,,,,,,,,
WA,20/04/2020,16:50,545,,,,,,,,,,,,,
SA,20/04/2020,16:50,435,,,,,,,,,,,,,
NSW,20/04/2020,20:00,2969,30,,,,,,,,,,,,
TAS,20/04/2020,,200,,,,,,,,,,,,,
VIC,21/04/2020,09:00,1336,,,,,,,,,,,,,
ACT,21/04/2020,12:55,104,3,,,,,,,,,,,,
QLD,21/04/2020,16:00,1024,,,,,,,,,,,,,
WA,21/04/2020,,546,,,,,,,,,,,,,
TAS,21/04/2020,,201,,,,,,,,,,,,,
NSW,21/04/2020,18:15,,31,,,,,,,,,,,,
NSW,21/04/2020,20:00,2971,33,,,,,,,,,,,,
SA,21/04/2020,,437,,,,,,,,,,,,,
VIC,22/04/2020,,1336,15,,,,,,,,,,,,
QLD,22/04/2020,,1024,4,,,,,,,,,,,,
ACT,22/04/2020,13:30,104,,,,,,,,,,,,,
NT,22/04/2020,15:15,28,,,,,,,,,,,,,
SA,22/04/2020,17:30,438,,,,,,,,,,,,,
WA,22/04/2020,17:30,546,,,,,,,,,,,,,
NSW,22/04/2020,20:00,2976,33,,,,,,,,,,,,
VIC,23/04/2020,10:59,1337,16,,,,,,,,,,,,
ACT,23/04/2020,13:05,104,3,,,,,,,,,,,,
QLD,23/04/2020,15:48,1026,,,,,,,,,,,,,
WA,23/04/2020,16:22,546,,,,,,,,,,,,,
TAS,23/04/2020,18:00,205,,,,,,,,,,,,,
SA,23/04/2020,,438,,,,,,,,,,,,,
NT,23/04/2020,15:20,28,,,,,,,,,,,,,
NSW,23/04/2020,20:00,2982,34,,,,,,,,,,,,
VIC,24/04/2020,09:45,1343,,,,,,,,,,,,,
TAS,24/04/2020,09:45,,9,,,,,,,,,,,,
WA,24/04/2020,,,8,,,,,,,,,,,,
ACT,24/04/2020,13:30,105,,,,,,,,,,,,,
QLD,24/04/2020,13:45,1026,,,,,,,,,,,,,
NT,24/04/2020,16:20,28,,,,,,,,,,,,,
WA,24/04/2020,,548,,,,,,,,,,,,,
NSW,24/04/2020,17.35,,35,,,,,,,,,,,,
NSW,24/04/2020,20:00,2994,,,,,,,,,,,,,
TAS,25/04/2020,,,10,,,,,,,,,,,,
QLD,25/04/2020,12:50,1026,,,,,,,,,,,,,
VIC,25/04/2020,13:00,1346,,,,,,,,,,,,,
ACT,25/04/2020,14:20,106,,,,,,,,,,,,,
WA,25/04/2020,15:30,549,,,,,,,,,,,,,
SA,25/04/2020,16:00,438,,,,,,,,,,,,,
TAS,25/04/2020,17:30,209,,,,,,,,,,,,,
NSW,25/04/2020,,,36,,,,,,,,,,,,
NSW,25/04/2020,20:00,3002,36,,,,,,,,,,,,
VIC,26/04/2020,11:25,1349,17,,,,,,,,,,,,
ACT,26/04/2020,12:32,106,3,,,,,,,,,,,,
QLD,26/04/2020,12:35,1030,,,,,,,,,,,,,
WA,26/04/2020,15:36,549,,,,,,,,,,,,,
